Date,Open,High,Low,Close,Adj Close,Volume
2023-06-30,3.380000,3.390000,3.210000,3.360000,3.303808,235928
2023-07-03,3.380000,3.380000,3.270000,3.300000,3.244812,126489
2023-07-04,3.270000,3.480000,3.240000,3.440000,3.382470,202702
2023-07-05,3.440000,3.460000,3.310000,3.370000,3.313641,171352
2023-07-06,3.340000,3.350000,3.160000,3.200000,3.146484,95553
2023-07-07,3.220000,3.230000,3.090000,3.170000,3.116986,97407
2023-07-10,3.200000,3.200000,3.090000,3.150000,3.097320,74565
2023-07-11,3.110000,3.320000,3.110000,3.270000,3.215313,140840
2023-07-12,3.290000,3.290000,3.180000,3.270000,3.215313,96584
2023-07-13,3.290000,3.400000,3.270000,3.390000,3.333307,190698
2023-07-14,3.400000,3.450000,3.330000,3.430000,3.372638,120072
2023-07-17,3.450000,3.480000,3.360000,3.460000,3.402136,98863
2023-07-18,3.460000,3.530000,3.420000,3.500000,3.441467,118670
2023-07-19,3.500000,3.670000,3.440000,3.500000,3.441467,170928
2023-07-20,3.490000,3.660000,3.470000,3.620000,3.559460,193831
2023-07-21,3.600000,3.620000,3.520000,3.590000,3.529962,50929
2023-07-24,3.590000,3.630000,3.500000,3.550000,3.490631,110409
2023-07-25,3.600000,3.790000,3.570000,3.750000,3.687286,185086
2023-07-26,3.790000,3.950000,3.780000,3.910000,3.844610,189112
2023-07-27,3.940000,4.170000,3.890000,4.060000,3.992102,292595
2023-07-28,4.100000,4.150000,3.870000,3.990000,3.923272,154981
2023-07-31,4.060000,4.190000,4.010000,4.140000,4.070764,163375
2023-08-01,4.160000,4.380000,4.100000,4.230000,4.159259,533808
2023-08-02,4.250000,4.440000,4.220000,4.300000,4.228088,260895
2023-08-03,4.220000,4.300000,4.020000,4.250000,4.178924,216204
2023-08-04,4.250000,4.250000,4.050000,4.090000,4.021600,175599
2023-08-07,4.090000,4.165000,4.040000,4.070000,4.001935,148884
2023-08-08,4.020000,4.120000,4.020000,4.080000,4.011767,91403
2023-08-09,4.020000,4.070000,3.930000,4.050000,3.982269,112891
2023-08-10,4.080000,4.080000,3.820000,3.970000,3.903607,198891
2023-08-11,3.970000,4.110000,3.930000,4.110000,4.041265,111800
2023-08-14,4.120000,4.210000,4.020000,4.020000,3.952770,84252
2023-08-15,4.090000,4.090000,3.960000,4.060000,3.992102,70954
2023-08-16,4.090000,4.100000,3.980000,4.070000,4.001935,100654
2023-08-17,4.020000,4.040000,3.900000,4.000000,3.933105,82703
2023-08-18,3.980000,3.990000,3.890000,3.990000,3.923272,126464
2023-08-21,3.890000,3.990000,3.870000,3.910000,3.844610,107324
2023-08-22,3.890000,4.080000,3.830000,4.060000,3.992102,297637
2023-08-23,4.020000,4.170000,3.990000,4.110000,4.041265,134494
2023-08-24,4.130000,4.280000,4.100000,4.280000,4.208423,123269
2023-08-25,4.280000,4.300000,4.020000,4.140000,4.070764,184662
2023-08-28,4.120000,4.150000,4.030000,4.030000,3.962604,116887
2023-08-29,4.080000,4.300000,4.060000,4.280000,4.208423,137908
2023-08-30,4.200000,4.350000,4.200000,4.350000,4.277251,119302
